"genus","species","newcarabids_author_carabids_source","newcarabids_comment_carabids_source","newcarabids_referencebodysize_carabids_source","newcarabids_referenceclassification_carabids_source","newcarabids_referencedistribution_carabids_source","newcarabids_referenceeyesize_carabids_source","newcarabids_referencehabitatpreference_carabids_source","newcarabids_referencehwd_carabids_source","newcarabids_referencetrophiclevel_carabids_source","newmartin2019_authority_martin2019_source","newtamburini_source.of.pest.trait.information_tamburini_source","newglobalants_contributor_globalants_source","newarthropodtraits_author_arthropodtraits_source","newcarabids_referencehibernation_carabids_source","newcarabids_referencehuntingabilities_carabids_source","newsesync_citation_sesync_source","newemerystickytrap_literature_emerysticky_source","newemerystickytrap_litforsize_emerysticky_source","newcarabids_referenceactivitytime_carabids_source","newcarabids_referencereproduction_carabids_source","newemerypitfalltrap_literature_emerypit_source"
"bembidion","saxatile","Gyllenhal","Turin 2000: 291 Freude et al. 2006: 187 Chatenet 2005: 335 spring breeder","Chatenet 2005: 336","Löbl & Smetana 2003","Löbl & Smetana 2003","Chatenet 2005: 336","GAC Ed. 2009","Jeannel 1941: 505 Lindroth 1985/86: 198","Lindroth 1985/86",NA,NA,NA,NA,"Lindroth 1985/86","Hengeveld 1980",NA,NA,NA,NA,NA,NA
"bembidion","scapulare","Dejean",NA,"Freude et al. 2006: 189","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 189","GAC Ed. 2009","Jeannel 1941: 507","Lindroth 1985/86",NA,NA,NA,NA,"Lindroth 1985/86","Hengeveld 1980",NA,NA,NA,NA,NA,NA
"bembidion","schueppelii","Dejean",NA,"Jeannel 1941: 466","Löbl & Smetana 2003","Löbl & Smetana 2003","Jeannel 1941: 466","GAC Ed. 2009","Lindroth 1945: 279","Lindroth 1985/86",NA,NA,NA,NA,"Lindroth 1985/86","Hengeveld 1980",NA,NA,NA,NA,NA,NA
"bembidion","semipunctatum","Donovan","Netolitzky 1943a: 62","Freude et al. 2006: 175","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 175","GAC Ed. 2009","Lindroth 1985/86: 156","Lindroth 1985/86",NA,NA,NA,NA,"Lindroth 1985/86","Hengeveld 1980",NA,NA,NA,NA,NA,NA
"bembidion","starkii","Schaum",NA,"Freude et al. 2006: 175","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 175","GAC Ed. 2009","Freude et al. 2006: 175","Lindroth 1985/86",NA,NA,NA,NA,"Lindroth 1985/86","Hengeveld 1980",NA,NA,NA,NA,NA,NA
"bembidion","stephensii","Crotch","J. M?ller 1918: 57","Freude et al. 2006: 186","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 186","GAC Ed. 2009","Turin 2000:292 Lindroth 1985/86: 191","Lindroth 1985/86",NA,NA,NA,NA,"Lindroth 1985/86","Hengeveld 1980",NA,NA,NA,NA,NA,NA
"bembidion","stomoides","Dejean",NA,"Freude et al. 2006: 195","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 195","GAC Ed. 2009","Desender 1989: 29","Lindroth 1985/86",NA,NA,NA,NA,"Lindroth 1985/86","Hengeveld 1980",NA,NA,NA,NA,NA,NA
"bembidion","striatum","Fabricius","Ortuno & Toribio 2005: 170","Ortuno & Toribio 2005: 301","Löbl & Smetana 2003","Löbl & Smetana 2003","Ortuno & Toribio 2005: 301","GAC Ed. 2009","Ortuno & Toribio 2005: 301","Lindroth 1985/86",NA,NA,NA,NA,"Lindroth 1985/86","Hengeveld 1980",NA,NA,NA,NA,NA,NA
"bembidion","terminale","Heer",NA,"Jeannel 1941: 508","Löbl & Smetana 2003","Löbl & Smetana 2003","Jeannel 1941: 508","GAC Ed. 2009","Jeannel 1941: 508","Lindroth 1985/86",NA,NA,NA,NA,"Lindroth 1985/86","Hengeveld 1980",NA,NA,NA,NA,NA,NA
"bembidion","testaceum","Duftschmid",NA,"Freude et al. 2006: 190","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 190","GAC Ed. 2009","Desender 1989: 28","Lindroth 1985/86",NA,NA,NA,NA,"Lindroth 1985/86","Hengeveld 1980",NA,NA,NA,NA,NA,NA
"bembidion","tetracolum","Say","Lindroth 1985/86: 180 Chatenet 2005: 352 spring breeder","Lindroth 1985/86: 192","Löbl & Smetana 2003","Löbl & Smetana 2003","Lindroth 1985/86: 192","GAC Ed. 2009","Barndt et al. 1991: 251","Lindroth 1985/86","Say 1823",NA,NA,NA,"Lindroth 1985/86","Hengeveld 1980",NA,NA,NA,NA,NA,NA
"bembidion","tibiale","Duftschmid",NA,"Freude et al. 2006: 182","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 182","GAC Ed. 2009","Lindroth 1985/86: 184","Lindroth 1985/86",NA,NA,NA,NA,"Lindroth 1985/86","Hengeveld 1980",NA,NA,NA,NA,NA,NA
"bembidion","transparens","Gebler","Lindroth 1985/86: 151 Chatenet 2005: 346 spring breeder","Lindroth 1985/86: 168","Löbl & Smetana 2003","Löbl & Smetana 2003","Lindroth 1985/86: 168","GAC Ed. 2009","Lindroth 1985/86: 168","Lindroth 1985/86",NA,NA,NA,NA,"Lindroth 1985/86","Hengeveld 1980",NA,NA,NA,NA,NA,NA
"bembidion","varicolor","Fabricius",NA,"Freude et al. 2006: 178","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 178","GAC Ed. 2009","Jeannel 1941: 496","Lindroth 1985/86",NA,NA,NA,NA,"Lindroth 1985/86","Hengeveld 1980",NA,NA,NA,NA,NA,NA
"bembidion","varium","Olivier","Apfelbeck 1904: 105","Freude et al. 2006: 175","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 175","GAC Ed. 2009","Barndt et al. 1991: 251","Lindroth 1985/86",NA,NA,NA,NA,"Lindroth 1985/86","Hengeveld 1980",NA,NA,NA,NA,NA,NA
"bembidion","velox","Linn","M?ller-Motzfeld 1978: 361","Freude et al. 2006: 171","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 171","GAC Ed. 2009","Freude et al. 2006: 171","Lindroth 1985/86",NA,NA,NA,NA,"Lindroth 1985/86","Hengeveld 1980",NA,NA,NA,NA,NA,NA
"blemus","discus","Fabricius","Netolitzky 1943a: 93","Lindroth 1985/86: 124","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006:134","GAC Ed. 2009","Lindroth 1985/86: 124",NA,"Fabricius 1792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bolitobius","castaneus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stephens 1832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bolitobius","cingulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mannerheim 1830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachiacantha","argentinica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon2014","coccinellidae.cl",NA,NA,NA
"brachiacantha","sellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon2014","coccinellidae.cl",NA,NA,NA
"brachiacantha","trimaculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon2014","coccinellidae.cl",NA,NA,NA
"brachinus","bipustulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schönherr 1806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachinus","crepitans","Linn",NA,"Freude et al. 2006: 25","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 25","GAC Ed. 2009","Lindroth 1985/86: 447",NA,"Linnaeus 1758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachinus","explodens","Duftschmid",NA,"Freude et al. 2006: 27","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 27","GAC Ed. 2009","Freude et al. 2006: 27",NA,"Duftschmid 1812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachinus","ganglbaueri",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apfelbeck 1904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachinus","psophia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Serville 1821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachinus","sclopeta","Fabricius","Jeannel 1963: 177","Chatenet 2005: 570","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 27",NA,"Chatenet 2005: 570",NA,"Fabricius 1792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","coactus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heraldo L. Vasconcelos & Renata Pacheco",NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","depilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sanders Nate",NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp. 07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heraldo L. Vasconcelos & Renata Pacheco",NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heraldo L. Vasconcelos & Renata Pacheco",NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heraldo L. Vasconcelos & Renata Pacheco",NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heraldo L. Vasconcelos & Renata Pacheco",NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heraldo L. Vasconcelos & Renata Pacheco",NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baccaro Fabricio",NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heraldo L. Vasconcelos & Renata Pacheco",NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baccaro Fabricio",NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baccaro Fabricio",NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baccaro Fabricio",NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachyta","interrogationis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bradycellus","caucasicus","Chaudoir",NA,"Freude et al. 2006: 413","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 413","GAC Ed. 2009","Freude et al. 2006: 412",NA,"Chaudoir 1846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bradycellus","csikii","Laczo","Lucas 1846: 21","Freude et al. 2006: 413","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006","GAC Ed. 2009","Lindroth 1985/86: 380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bradycellus","distinctus","Dejean","Reitter 1919: 132","Freude et al. 2006: 411","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006",NA,"Turin 2000: 506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bradycellus","harpalinus","Audinet-Serville",NA,"Freude et al. 2006: 412","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 412","GAC Ed. 2009","Lindroth 1985/86: 379",NA,"Serville 1821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bradycellus","ruficollis","Stephens","Freude et al. 2006: 26","Lindroth 1985/86: 376","Löbl & Smetana 2003","Löbl & Smetana 2003","Lindroth 1985/86: 376","GAC Ed. 2009","Lindroth 1985/86: 376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bradycellus","sharpi","Joy",NA,"Freude et al. 2006: 412","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006","GAC Ed. 2009","Turin 2000: 506","Lindroth 1985/86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bradycellus","verbasci","Duftschmid",NA,"Freude et al. 2006: 412","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 412","GAC Ed. 2009","Lindroth 1985/86: 378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brevicoryne","brassicae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pal & Singh 2013",NA,NA,NA,NA,"Chaplin-Kramer R. De Valpine P. Mills N. J. and Kremen C. 2013. Detecting pest control services across spatial and temporal scales. Agric. Ecosyst. Environ. 181: 206‚Äö√Ñ√¨212.",NA,NA,NA,NA,NA
"broscus","cephalotes","Linn","Dejean 1825: 320","Freude et al. 2006: 107","Löbl & Smetana 2003","Löbl & Smetana 2003","Lindroth 1985/86: 108","GAC Ed. 2009","Turin 2000: 217 Freude et al. 2006: 107 Lindroth 1985/86: 108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"busseola","fusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Birkett et al. 2006 Chamberlain et al. 2006 Kfir et al. 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cacoxenus","indagator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Loew 1858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calathus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bonelli 1810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calathus","ambiguus","Paykull","Reitter 1919: 132","Freude et al. 2006: 289","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 289","GAC Ed. 2009","Lindroth 1985/86: 263 Turin 2000: 348","Lindroth 1985/86: 263","Paykull 1790",NA,NA,NA,"Lindroth 1985/86: 263",NA,NA,NA,NA,NA,NA,NA
"calathus","cinctus","Motschulsky","Lindroth 1985/86: 380 Freude et al. 2006: 413 winter active","Freude et al. 2006: 291","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 291","GAC Ed. 2009","Turin 2000: 350","Lindroth 1985/86","Motschulsky 1850",NA,NA,NA,"Lindroth 1985/86",NA,NA,NA,NA,NA,NA,NA
"calathus","erratus","C. R. Stahlberg",NA,"Freude et al. 2006: 288","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 288","GAC Ed. 2009","Lindroth 1985/86: 262 Turin 2000: 349","Lindroth 1985/86","Sahlberg 1827",NA,NA,NA,"Lindroth 1985/86",NA,NA,NA,NA,NA,NA,NA
"calathus","fuscipes","Goeze","Antoine 1959: 446 winter active","Freude et al. 2006: 287","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 287","GAC Ed. 2009","Lindroth 1985/86: 262 Turin 2000: 352","Lindroth 1985/86","Goeze 1777",NA,NA,NA,"Lindroth 1985/86",NA,NA,NA,NA,NA,NA,NA
"calathus","luctuosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dejean 1828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calathus","melanocephalus","Linné",NA,"Freude et al. 2006: 290","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 290","GAC Ed. 2009","Lindroth 1985/86: 263 Turin 2000: 353","Lindroth 1985/86","Linnaeus 1758",NA,NA,NA,"Lindroth 1985/86",NA,NA,NA,NA,NA,NA,NA
"calathus","micropterus","Duftschmid",NA,"Freude et al. 2006: 290","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 290","GAC Ed. 2009","Lindroth 1985/86: 265","Lindroth 1985/86","Duftschmid 1812",NA,NA,NA,"Lindroth 1985/86",NA,NA,NA,NA,NA,NA,NA
"calathus","mollis","Marsham",NA,"Freude et al. 2006: 291","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 291","GAC Ed. 2009","Turin 2000: 356","Lindroth 1985/86",NA,NA,NA,NA,"Lindroth 1985/86",NA,NA,NA,NA,NA,NA,NA
"calathus","rotundicollis","Dejean","Chatenet 2005: 219","Freude et al. 2006: 287","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 287","GAC Ed. 2009","Lindroth 1985/86: 265 Turin 2000: 357","Lindroth 1985/86",NA,NA,NA,NA,"Lindroth 1985/86",NA,NA,NA,NA,NA,"C. Le Champion pers. comm.",NA
"callicerus","obscurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gravenhorst 1802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"callicerus","rigidicornis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Erichson 1839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"callidium","aeneum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"callidium","coriaceum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"callidium","violaceum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"callistus","lunatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fabricius 1775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calosoma","argentense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Riddick2008"
"calosoma","auropunctatum","Herbst",NA,"Freude et al. 2006: 31","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 31","GAC Ed. 2009","Freude et al. 2006: 31","Freude et al. 2006: 31",NA,NA,NA,NA,NA,"Freude et al. 2006: 31",NA,NA,NA,NA,NA,NA
"calosoma","inquisitor","Linné","Putzeys 1973: 43","Lindroth 1985/86: 47 Jeannel 1941: 101","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 31","GAC Ed. 2009","Lindroth 1985/86: 47 Jeannel 1941: 101","Freude et al. 2006: 31",NA,NA,NA,NA,NA,"Freude et al. 2006: 31",NA,NA,NA,NA,NA,NA
"calosoma","investigator","Illiger",NA,NA,"Löbl & Smetana 2003","Löbl & Smetana 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calosoma","reticulatum","Fabricius",NA,"Lindroth 1985/86: 49 Chatenet 2005: 103","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 32","GAC 2008","Lindroth 1985/86: 49 Chatenet 2005: 103","Freude et al. 2006: 32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calosoma","retusum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Riddick2008"
"calosoma","sycophanta","Linn",NA,"Lindroth 1985/86: 46 Jeannel 1941: 101","Löbl & Smetana 2003","Löbl & Smetana 2003","Freude et al. 2006: 31","GAC Ed. 2009","Lindroth 1985/86: 46 Jeannel 1941: 101","Freude et al. 2006: 31",NA,NA,NA,NA,NA,"Freude et al. 2006: 31",NA,NA,NA,NA,NA,NA
"camponotus","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bishop Tom Rhys",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayle Tom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayle Tom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayle Tom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayle Tom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayle Tom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayle Tom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayle Tom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayle Tom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayle Tom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayle Tom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayle Tom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayle Tom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bishop Tom Rhys",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayle Tom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayle Tom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayle Tom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayle Tom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayle Tom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bishop Tom Rhys",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayle Tom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","aff. aruensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plowman Nichola",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","aff. pictostriatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plowman Nichola",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","aff. polynesicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plowman Nichola",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","americanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chick Lacy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","amperei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gibb Heloise; Grossman Blair",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","anezkae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plowman Nichola",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","armstrongi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gibb Heloise; Grossman Blair",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","aruensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plowman Nichola",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","atriceps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heraldo L. Vasconcelos & Renata Pacheco",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","blandus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heraldo L. Vasconcelos & Renata Pacheco",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","bonariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heraldo L. Vasconcelos & Renata Pacheco",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","castaneus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gibb Heloise",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","cf. chloroticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plowman Nichola",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","cf. conithorax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plowman Nichola",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","cf. macrocephalus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plowman Nichola",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","cf. variegatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plowman Nichola",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","cf._compressus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staab Michael",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","cingulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heraldo L. Vasconcelos & Renata Pacheco",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","clarior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gibb Heloise; Grossman Blair",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","claripes gp. sp. SS 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gibb Heloise; Grossman Blair",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","claripes gp. sp. SS 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gibb Heloise; Grossman Blair",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","claripes gp. sp. SS 2 & discors gp. sp. SS 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gibb Heloise; Grossman Blair",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","claripes gp. sp. SS 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gibb Heloise; Grossman Blair",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","crozieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gibb Heloise",NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","discors gp. sp. SS 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gibb Heloise; Grossman Blair",NA,NA,NA,NA,NA,NA,NA,NA,NA
