genus,species,invasive.to.political.region1_globalants_invasive,contributor_globalants_source,caste_globalants_other,whole.body.length..mm._globalants_body,colony.type_globalants_other,activity_globalants_other,diet_globalants_feeding,political.region1_globalants_invasive,continent_globalants_invasive
cardiocondyla,wroughtonii,Unknown,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cardiocondyla,wroughtonii,Unknown,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cardiocondyla,86,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cardiocondyla,95,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cardiocondyla,193,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cardiocondyla,microseta,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cardiocondyla,emeryi,Unknown,"Gibb, Heloise",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cardiocondyla,obscurior,Unknown,"Plowman, Nichola",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cardiocondyla,obscurior,Unknown,"Plowman, Nichola",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cardiocondyla,obscurior,Unknown,"Plowman, Nichola",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cardiocondyla,obscurior,Unknown,"Plowman, Nichola",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cardiocondyla,obscurior,Unknown,"Plowman, Nichola",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cardiocondyla,obscurior,Unknown,"Plowman, Nichola",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cardiocondyla,obscurior,Unknown,"Plowman, Nichola",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cardiocondyla,obscurior,Unknown,"Plowman, Nichola",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cardiocondyla,obscurior,Unknown,"Plowman, Nichola",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,1,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,1,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,1,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,1,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,1,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,1,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,50,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,52,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,sp.,Native*,"Baccaro, Fabricio",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,atoma,Native*,"Plowman, Nichola",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,atoma,Native*,"Plowman, Nichola",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,atoma,Native*,"Plowman, Nichola",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,atoma,Native*,"Plowman, Nichola",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,atoma,Native*,"Plowman, Nichola",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,crassiuscula,Native*,"Plowman, Nichola",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,crassiuscula,Native*,"Plowman, Nichola",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,crassiuscula,Native*,"Plowman, Nichola",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,panamensis,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Generalist predator (1),Not in paper,Not in paper
carebara,reina,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Generalist predator (1),Not in paper,Not in paper
carebara,urichi,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Generalist predator (1),Not in paper,Not in paper
carebara,urichi,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Generalist predator (1),Not in paper,Not in paper
carebara,urichi,Native*,"Donoso, David",Worker,1.7,Monodomous (1),Diurnal (1),Generalist predator (1),Not in paper,Not in paper
carebara,urichi,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Generalist predator (1),Not in paper,Not in paper
carebara,urichi,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Generalist predator (1),Not in paper,Not in paper
carebara,urichi,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Generalist predator (1),Not in paper,Not in paper
carebara,jiangxiensis,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
carebara,jiangxiensis,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
carebara,jiangxiensis,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,jiangxiensis,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
carebara,melasolena,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
carebara,melasolena,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
carebara,melasolena,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
carebara,melasolena,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
carebara,melasolena,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
carebara,melasolena,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
carebara,melasolena,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
carebara,sp.1,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
carebara,anophtalma,Native*,Heraldo L. Vasconcelos & Renata Pacheco,Worker,Not in paper,Not in paper,Not in paper,Not in paper,Brazil,South America
cephalotes,atratus,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Generalist (2),Not in paper,Not in paper
cephalotes,minutus,Native*,"Donoso, David",Worker,3.3,Monodomous (1),Diurnal (1),Generalist (2),Not in paper,Not in paper
cephalotes,minutus,Native*,"Donoso, David",Worker,3.8,Monodomous (1),Diurnal (1),Generalist (2),Not in paper,Not in paper
cephalotes,minutus,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Generalist (2),Not in paper,Not in paper
cephalotes,persimilis,Native*,Heraldo L. Vasconcelos & Renata Pacheco,Worker,Not in paper,Not in paper,Not in paper,Not in paper,Brazil,South America
cephalotes,pusillus,Native*,Heraldo L. Vasconcelos & Renata Pacheco,Worker,Not in paper,Not in paper,Not in paper,Not in paper,Brazil,South America
cephalotes,simillimus,Native*,Heraldo L. Vasconcelos & Renata Pacheco,Worker,Not in paper,Not in paper,Not in paper,Not in paper,Brazil,South America
cephalotes,atratus,Native*,Heraldo L. Vasconcelos & Renata Pacheco,Worker,Not in paper,Not in paper,Not in paper,Not in paper,Brazil,South America
cephalotes,betoi,Native*,Heraldo L. Vasconcelos & Renata Pacheco,Worker,Not in paper,Not in paper,Not in paper,Not in paper,Brazil,South America
cephalotes,pallidoides,Native*,Heraldo L. Vasconcelos & Renata Pacheco,Worker,Not in paper,Not in paper,Not in paper,Not in paper,Brazil,South America
cephalotes,pusillus,Native*,Heraldo L. Vasconcelos & Renata Pacheco,Worker,Not in paper,Not in paper,Not in paper,Not in paper,Brazil,South America
cerapachys,sp._11_(turneri_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,sp._11_(turneri_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,sp._4_(singularis_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,sp._4_(singularis_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,sp._4_(singularis_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,sp._4_(singularis_gp.),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,3,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,3,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,3,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,3,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,3,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,3,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,un01,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,un01,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,un01,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,un01,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,un01,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,un01,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,9,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,151,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,168,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,215,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,0,Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,"brevis gp., sp. SS 1",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,"brevis gp., sp. SS 1",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,"brevis gp., sp. SS 1",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,"clarki gp., sp. SS 1",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,"clarki gp., sp. SS 1",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,"fervidus gp., sp. SS 1",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,"fervidus gp., sp. SS 1",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,"fervidus gp., sp. SS 2",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,"fervidus gp., sp. SS 2",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,"fervidus gp., sp. SS 3",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,"fervidus gp., sp. SS 3",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,"fervidus gp., sp. SS 3",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,"fervidus gp., sp. SS 3",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,"fervidus gp., sp. SS 3",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,"fervidus gp., sp. SS 3",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,"fervidus gp., sp. SS 4",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,"varians gp., sp. SS 1",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,"varians gp., sp. SS 1",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,"varians gp., sp. SS 2",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,cf. flavaclavatus,Native*,"Plowman, Nichola",Major,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,cf. flavaclavatus,Native*,"Plowman, Nichola",Major,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,cf. flavaclavatus,Native*,"Plowman, Nichola",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,desposyne,Native*,"Plowman, Nichola",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,toltecus,Native*,"Donoso, David",Worker,Not in paper,Monodomous (1),Diurnal (1),Specialist predator (6),Not in paper,Not in paper
cerapachys,splendens,Native*,"Baccaro, Fabricio",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
cerapachys,sulcinodis,Native*,"Staab, Michael",Worker,Not in paper,Not in paper,Not in paper,Not in paper,China,Asia
crematogaster,queenslandica,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,queenslandica,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,queenslandica,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,queenslandica,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,queenslandica,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,queenslandica,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,queenslandica,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,queenslandica,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,queenslandica,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,queenslandica,Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,sp._2_(australis_complex),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,sp._2_(australis_complex),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,sp._2_(australis_complex),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,sp._2_(australis_complex),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,sp._2_(australis_complex),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,sp._2_(australis_complex),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,sp._2_(australis_complex),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,sp._2_(australis_complex),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,sp._2_(australis_complex),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,sp._2_(australis_complex),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,sp._4_(Group_A),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,sp._4_(Group_A),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,sp.3(GroupA),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,sp.3(GroupA),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,sp.3(GroupA),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,sp.3(GroupA),Native*,"Gibb, Heloise",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,6,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,6,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,6,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,6,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,6,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,6,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,natalensis,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,natalensis,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,natalensis,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,natalensis,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,natalensis,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,natalensis,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,un02,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,un02,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,un02,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,un02,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,un02,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,un02,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,un03,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,un03,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,un03,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,un03,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,un03,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,un03,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,un04,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,un04,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,un04,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,un04,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,un04,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,un04,Native*,"Bishop, Tom Rhys",Minor,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,22,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,33,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,71,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,91,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,120,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,138,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,165,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,180,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,181,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,4,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,40,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,85,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,modiglianii,Native*,"Fayle, Tom",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,frivola,Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,frivola,Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,frivola,Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,frivola,Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,frivola,Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,frivola,Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,frivola,Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,frivola,Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,"laeviceps gp., sp. SS 1",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,"laeviceps gp., sp. SS 1",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,"laeviceps gp., sp. SS 1",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,"laeviceps gp., sp. SS 1",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,"laeviceps gp., sp. SS 1",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,"laeviceps gp., sp. SS 1",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,"laeviceps gp., sp. SS 1",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
crematogaster,"laeviceps gp., sp. SS 1 & sp. SS 2",Native*,"Gibb, Heloise; Grossman, Blair",Worker,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
