presence_emerysticky_other,subclase_emerysticky_other,order_emerysticky_other,superfamily_emerysticky_other,family_emerysticky_other,subfamily_emerysticky_other,tribe_emerysticky_other,genus,species,number_emerysticky_other,location_emerysticky_other,dietbreadth_emerysticky_feeding,trophiclevel_emerysticky_feeding,functionalgroup_emerysticky_other,habitat_emerysticky_habitat,diet_emerysticky_feeding,moreinfo_emerysticky_other,nat_inv_un_emerysticky_invasive,countryconfirmed_emerysticky_invasive,literature_emerysticky_source,size_mm.min._emerysticky_body,size_mm.largestifrange._emerysticky_body,onesize_mm_emerysticky_body,litforsize_emerysticky_source
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,1,B3,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,1,B1,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,1,D2,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,6,"D3,E2,E1,H3,J4",Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,7,"B3,C2,C3,E1,K4,K3",Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,1,B2,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,1,H1,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,4,"K2,L3,L4",Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,1,D1,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,1,F2,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,1,E2,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,2,"D3,H3",Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,1,L3,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,1,B4,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,1,E4,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,1,K4,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,1,F3,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,1,B4,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,1,F4,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,1,M3,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,1,L1,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,1,K3,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,2,"E3,M2",Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,seminulus,1,D2,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,Serra2013,1.5,2.2,1.85,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,sp11,1,D2,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,Un,Un,NA,NA,2.6,
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,sp11,1,D2,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,Un,Un,2.5,3,2.75,
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,sp43,1,L1,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,Un,http://www.coccinellidae.cl/paginasWebArg/Paginas/Diomus_sp_43_Arg.php,1.8,2,1.9,
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,tenuis,1,I3,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,AR,http://www.coccinellidae.cl/paginasWebTribus/Diomini/Paginas/Diomus_tenuis.html,1.5,1.9,1.7,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,tenuis,1,E4,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,AR,http://www.coccinellidae.cl/paginasWebTribus/Diomini/Paginas/Diomus_tenuis.html,1.5,1.9,1.7,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,tucumanus,1,C1,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,http://www.coccinellidae.cl/paginasWebTribus/Diomini/Paginas/Diomus_tucumanus.html,1.3,1.8,1.55,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,tucumanus,1,C4,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,http://www.coccinellidae.cl/paginasWebTribus/Diomini/Paginas/Diomus_tucumanus.html,1.3,1.8,1.55,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,diomus,tucumanus,1,K3,Specialist,Predator,CanopyPredator,Canopy,aphids,,Nat,UY,http://www.coccinellidae.cl/paginasWebTribus/Diomini/Paginas/Diomus_tucumanus.html,1.3,1.8,1.55,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,C2,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,D2,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,B2,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,C1,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,4,"C1,L4,M2",Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,2,"F1,I4",Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,K2,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,C2,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,E3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,B2,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,2,"A2,M3",Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,J4,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,C2,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,B1,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,I2,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,E4,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,F3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,E2,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,2,"J1,J4",Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,2,"I2,J2",Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,J4,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,2,"I2,I4",Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,K4,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,A2,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,L1,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,B3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,D1,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,F4,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,K3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,K1,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,2,"F2,I1",Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,E1,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,D2,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,K4,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,E3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,"D2,J2",Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,3,"B4,C3,L3",Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,K1,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,2,"D3,L3",Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,D3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,D2,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,2,B3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,I4,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,C1,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,M1,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,3,"C4,D3,L2",Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,I3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,2,"D1,K2",Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,2,"B1,K4",Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,E3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,K2,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,K1,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,C3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,D3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,C3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,C3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,I3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,C3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,B3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,E1,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,F4,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,L1,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,K1,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,2,"J3,L3",Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,4,"C2,E3,F3,J3",Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,2,K3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,G4,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,J3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,L3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,2,"D2,J3",Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,C1,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,D3,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,E2,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,I4,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,E4,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
had,NA,Coleoptera,NA,Coccinellidae,,,eriopis,connexa,1,J1,Generalist,Predator,CanopyPredator,Canopy&Ground,"aphids,Leps",,Nat,UY,"Serra2013,Nascimiento2021,Ximenez-Embun2014",4.3,5.6,4.95,coccinellidae.cl
