"","carabidid_carabids_other","subfamily_carabids_other","tribe_carabids_other","subtribe_carabids_other","genus","subgenus_carabids_other","species","author_carabids_source","yearofdesc_carabids_other","region_carabids_other","range_carabids_other","countries_carabids_other","hindwingdevelopment_carabids_other","maxsize_carabids_body","minsize_carabids_body","eyesize_carabids_other","trophiclevel_carabids_feeding","visualhunter_carabids_feeding","snailhunter_carabids_feeding","collembolehunter_carabids_feeding","isopodhunter_carabids_feeding","habitatpreference_carabids_habitat","hibernation_carabids_other","activitystart_carabids_other","activityend_carabids_other","reprospring_carabids_other","reprosummer_carabids_other","reproautumn_carabids_other","reprowinter_carabids_other","comment_carabids_source","isactive_carabids_other","distributionarea_carabids_other","distributioncenterlatitude_carabids_other","distributioncenterlongitude_carabids_other","referenceid_carabids_other","carabididref_carabids_other","referenceclassification_carabids_source","referencedistribution_carabids_source","referencebodysize_carabids_source","referencehwd_carabids_source","referenceeyesize_carabids_source","referencetrophiclevel_carabids_source","referencehuntingabilities_carabids_source","referencehabitatpreference_carabids_source","referencehibernation_carabids_source","referenceactivitytime_carabids_source","referencereproduction_carabids_source","x"
"108",1136,"Harpalinae","Licinini","Licinina","badister","Badister","meridionalis","Puel",1925,"Central Europe","widespread","AB,AU,BE,BH,BU,BY,CT,CZ,DE,FR,GB,GE,GG,HU,IT,MD,NL,PL,PT,SK,SP,ST,SV,SZ,UK,AG,MO,TU,KA","winged",7,6,"25 - 50 %","","","checked","","","4,6","Imago","May","July","checked","checked","",NA,"E. Vives & Noguera (1980): 20",1,350,51,9,1136,1136,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Lindroth (1985/86): 398","Lindroth (1985/86): 398","Lindroth (1985/86): 398","","Freude et al. (2006)","GAC, Ed. (2009)","Lindroth (1985/86): 398","Lindroth (1985/86): 398","",NA
"109",1139,"Harpalinae","Licinini","Licinina","badister","Baudia","peltatus","Panzer",1796,"Central Europe","widespread","AL,AU,BE,BH,BY,CR,CT,CZ,DE,EN,FI,FR,GB,GE,GR,HU,IT,LA,MD,NL,NT,PL,RO,SK,SL,SP,ST,SV,SZ,UK,YU,ES,FE,TR","winged",5,4,"25 - 50 %","","","checked","","","4,5","Imago","May","July","checked","checked","",NA,"Wrase (1992b): 72, Antoine (1955): 90",1,350,51,9,1139,1139,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Lindroth (1985/86): 401","Lindroth (1985/86): 401","Lindroth (1985/86): 401","","Freude et al. (2006)","GAC, Ed. (2009)","Lindroth (1985/86): 401","Lindroth (1985/86): 401","",NA
"110",1143,"Harpalinae","Licinini","Licinina","badister","Trimorphus","sodalis","Duftschmid",1812,"Central Europe","widespread","AU,AZ,BE,BH,BU,BY,CT,CZ,DE,EN,FR,GB,GE,GG,HU,IT,LA,LT,NL,PL,RO,SK,SL,SP,ST,SV,SZ,UK,TR,WS","dimorphic",4,3,"25 - 50 %","","","checked","","","4,5,6,7,9","Imago","May","July","checked","checked","",NA,"Wrase (1992b): 71",1,350,51,9,1143,1143,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Turin (2000): 527","Lindroth (1985/86): 400","Lindroth (1985/86): 400","","Freude et al. (2006)","GAC, Ed. (2009)","Lindroth (1985/86): 400","Lindroth (1985/86): 400","",NA
"111",1144,"Harpalinae","Licinini","Licinina","badister","Badister","unipustulatus","Bonelli",1813,"Central Europe","widespread","AL,AR,AU,AZ,BE,BH,BU,BY,CT,CZ,DE,EN,FI,FR,GB,GE,GG,GR,HU,IT,LA,LT,MA,MD,NL,PL,RO,SK,SL,SP,ST,SV,UK,YU,KZ,TR,UZ,WS","winged",9,7,"25 - 50 %","","","checked","","","4,5","Imago","May","July","checked","checked","",NA,"Wrase (1992b): 92",1,350,51,9,1144,1144,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Lindroth (1985/86): 393","Lindroth (1985/86): 393","Lindroth (1985/86): 393","","Freude et al. (2006)","GAC, Ed. (2009)","Lindroth (1985/86): 393","","",NA
"112",1160,"Trechinae","Bembidiini","Bembidiina","bembidion","Philochthus","aeneum","Germar",1824,"Central Europe","widespread","BE,DE,EN,FR,GB,GE,IR,LA,MD,NL,NR,NT,SV,UK","dimorphic",4,3,"25 - 50 %","Predator","checked","","","","1,3,4,9","Larva/Imago","","","checked","","",NA,"",1,350,51,9,1160,1160,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Lindroth (1985/86): 173","Lindroth (1985/86): 173","Lindroth (1985/86): 173","Lindroth (1985/86): 173","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86): 173","","",NA
"113",1186,"Trechinae","Bembidiini","Bembidiina","bembidion","Bracteon","argenteolum","Ahrens",1812,"Central Europe","widespread","AU,BE,BU,BY,CT,CZ,EN,FR,GB,GE,HU,IR,IT,LA,LT,MD,NL,NR,NT,RO,SK,SL,ST,SV,UK,ES,FE,KZ,WS","winged",7,5,"25 - 50 %","Predator","checked","","","","1,3","Imago","","","checked","","",NA,"",1,350,51,9,1186,1186,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Lindroth (1985/86): 145","Lindroth (1985/86): 145","Lindroth (1985/86): 145","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"114",1190,"Trechinae","Bembidiini","Bembidiina","bembidion","Trepanes","articulatum","Panzer",1796,"Central Europe","widespread","AB,AL,AR,AU,BE,BH,BU,BY,CR,CT,CZ,DE,EN,FI,FR,GB,GE,GG,GR,HU,IT,LA,LS,LT,LU,MC,MD,NL,NR,NT,PT,RO,SK,SL,SP,ST,SV,SZ,UK,YU,CH,ES,FE,JA,Kl,KZ,WS","winged",3,3,"25 - 50 %","Predator","checked","","","","1,3,4","Imago","","","checked","","",NA,"",1,350,51,9,1190,1190,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 202","Barndt et al. (1991): 250","Freude et al. (2006): 202","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"115",1191,"Trechinae","Bembidiini","Bembidiina","bembidion","Bembidionetolitzkya","ascendens","K. Daniel",1902,"Central Europe","widespread","AL,AU,BE,BH,CR,CZ,FR,GE,IT,PL,RO,SK,SL,SP,SZ,UK","winged",8,6,"25 - 50 %","Predator","checked","","","","3","Imago","","","checked","","",NA,"",1,350,51,9,1191,1191,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 181","Desender (1989): 28","Freude et al. (2006): 181","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"116",1193,"Trechinae","Bembidiini","Bembidiina","bembidion","Talanes","aspericolle","Germar",1829,"Central Europe","widespread","AB,AU,CR,FR,GE,GG,GR,HU,IT,MD,RO,SL,SP,ST,UK,KI,KZ,TD,TM,UZ,WS","winged",2,2,"25 - 50 %","Predator","checked","","","","1","Imago","","","checked","","",NA,"",1,350,51,9,1193,1193,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 199","Jeannel (1941): 462","Freude et al. (2006): 199","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"117",1195,"Trechinae","Bembidiini","Bembidiina","bembidion","Diplocampa","assimile","Gyllenhal",1810,"Central Europe","widespread","AU,BE,BH,BU,BY,CR,CT,CZ,DE,EN,FI,FR,GB,GE,HU,IR,IT,LA,LT,LU,MC,MD","dimorphic",3,2,"25 - 50 %","Predator","checked","","","","1,4,5","Imago","","","checked","","",NA,"",1,350,51,9,1195,1195,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Jeannel (1941): 467, Lindroth (1985/86): 163","Ortuno & Toribio (2005): 112","Jeannel (1941): 467, Lindroth (1985/86): 163","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"118",1200,"Trechinae","Bembidiini","Bembidiina","bembidion","Bembidionetolitzkya","atrocaeruleum","Stephens",1828,"Central Europe","widespread","BE,CZ,FR,GB,GE,IR,IT,NL,PT,SK,SP,SZ,UK","winged",5,4,"25 - 50 %","Predator","checked","","","","3","Imago","","","checked","","",NA,"",1,350,51,9,1200,1200,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 179","Ortuno & Toribio (2005): 237","Freude et al. (2006): 179","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"119",1218,"Trechinae","Bembidiini","Bembidiina","bembidion","Philochthus","biguttatum","Fabricius",1779,"Central Europe","widespread","AB,AR,AU,BE,BH,BU,BY,CT,CZ,DE,EN,FI,FR,GB,GE,GG,GR,HU,IT,LA,LT,LU,MD,NL,NT,PL,PT,RO,SK,SL,SP,ST,SV,SZ,UK,CI,ES,IS,KZ,WS","winged",4,3,"25 - 50 %","Predator","checked","","","","1,3,4,5,9","Imago","","","checked","","",NA,"Freude et al. (2006): 145",1,350,51,9,1218,1218,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 203","Lindroth (1985/86): 170","Lindroth (1985/86): 170","Lindroth (1985/86): 170","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86): 170","","",NA
"120",1219,"Trechinae","Bembidiini","Bembidiina","bembidion","Testedium","bipunctatum","Linn",1761,"Central Europe","widespread","AB,AR,AU,BE,BH,BU,BY,CR,CT,CZ,DE,EN,ES,FA,FI,FR,GB,GE,GR,GG,HU,IC,IR,IT,LA,LT,LS,MC,MD,NL,NR,NT,PT,RO,SK,SL,SP,SV,YU,TR,ES,KI,KZ,WS,IN,MO","winged",5,3,"25 - 50 %","Predator","checked","","","","1,2,3,4","Imago","","","checked","","",NA,"",1,350,51,9,1219,1219,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Ortuno & Toribio (2005): 160","Lindroth (1985/86): 152","Ortuno & Toribio (2005): 160","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"121",1224,"Trechinae","Bembidiini","Bembidiina","bembidion","Metallina","bodenheimeri","Netolitzky",1935,"Central Europe","widespread","AB,AL,AR,AU,BE,BH,BU,BY,CR,CT,CZ,DE,EN,FI,FR,GB,GE,GG,GR,HU,IR,IT,LA,LS,LT,LU,MC,MD,NL,NR,NT,PT,RO,SK,SL,SP,ST,SV,SZ,UK,YU,MO,TU,ES,KI,KZ,TD,TR,UZ,WS","winged",5,4,"","Predator","checked","","","","","","","","","","",NA,"",1,350,51,9,1224,1224,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","","","","Hengeveld (1980)","Hengeveld (1980)","","","","",NA
"122",1231,"Trechinae","Bembidiini","Bembidiina","bembidion","Peryphus","bruxellense","Wesmael",1835,"Central Europe","widespread","AU,BE,BY,CT,CZ,DE,EN,FA,FI,FR,GB,GE,HU,IC,IR,IT,LA,LT,LU,NL,NR,NT,RO,SK,SV,SZ,YU,ES,KZ,WS","winged",5,4,"25 - 50 %","Predator","checked","","","","1,3,4,8,9","Imago","","","checked","","",NA,"",1,350,51,9,1231,1231,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Lindroth (1985/86): 195","Lindroth (1985/86): 195","Lindroth (1985/86): 195","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"123",1257,"Trechinae","Bembidiini","Bembidiina","bembidion","Diplocampa","clarkii","Dawson",1849,"Central Europe","widespread","BE,DE,FR,IT,GB,GE,IR,LU,MD,PT,SP,ST,SV,UK,WS","dimorphic",3,2,"25 - 50 %","Predator","checked","","","","1,4","Imago","","","checked","","",NA,"",1,350,51,9,1257,1257,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Lindroth (1945): 207","Jeannel (1941): 466","Lindroth (1945): 207","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"124",1266,"Trechinae","Bembidiini","Bembidiina","bembidion","Bembidionetolitzkya","complanatum","Heer",1837,"Central Europe","widespread","AU,CR,FR,GE,IT,LS,SL,SP,SZ,TR","winged",6,5,"25 - 50 %","Predator","checked","","","","3","Imago","","","checked","","",NA,"",1,350,51,9,1266,1266,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 182","Jeannel (1941): 501","Freude et al. (2006): 182","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"125",1269,"Trechinae","Bembidiini","Bembidiina","bembidion","Bembidionetolitzkya","conforme","Dejean",1831,"Central Europe","widespread","AU,BH,CZ,FR,GE,GR,IT,LS,RO,SK,SL,SP,SZ,YU,UK","winged",6,4,"25 - 50 %","Predator","checked","","","","3","Imago","","","checked","","",NA,"",1,350,51,9,1269,1269,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 179","Ortuno & Toribio (2005): 236","Freude et al. (2006): 179","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"126",1301,"Trechinae","Bembidiini","Bembidiina","bembidion","Sinechostictus","decoratum","Duftschmid",1812,"Central Europe","widespread","AU,CZ,FR,GE,HU,IT,SK,SL,SZ,UK,TU","winged",4,3,"25 - 50 %","Predator","checked","","","","3,4,5,8","Imago","","","checked","","",NA,"",1,350,51,9,1301,1301,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 196","Jeannel (1941): 532,","Freude et al. (2006): 196","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"127",1302,"Trechinae","Bembidiini","Bembidiina","bembidion","Ocydromus","decorum","Panzer",1799,"Central Europe","widespread","AL,AU,BE,BH,BU,BY,CR,CT,DE,FR,GB,GE,GR,HU,IR,IT,LT,LU,MC,MD,NL,PL,RO,SK,SL,SP,ST,SV,SZ,UK,YU,MO","winged",6,5,"25 - 50 %","Predator","checked","","","","3","Imago","","","checked","","",NA,"Lindroth (1985/86): 400, Turin (2000): 527, spring/early summer breeder",1,350,51,9,1302,1302,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Lindroth (1985/86): 199","Desender (1989): 28","Lindroth (1985/86): 199","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"128",1304,"Trechinae","Bembidiini","Bembidiina","bembidion","Peryphanes","deletum","Audinet-Serville",1821,"Central Europe","widespread","AU,BE,BH,BU,BY,CR,CT,CZ,DE,EN,FI,FR,GB,GE,GR,HU,IR,IT,LA,LS,LT,LU,MC,MD,NL,NR,NT,PL,RO,SK,SL,SP,SV,SZ,YU,ES,KZ","winged",5,4,"25 - 50 %","Predator","checked","","","","1,2,3,6,8","Imago","","","checked","","",NA,"",1,350,51,9,1304,1304,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 186","Turin (2000): 286","Freude et al. (2006): 186","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"129",1308,"Trechinae","Bembidiini","Bembidiina","bembidion","Eupetedromus","dentellum","Thunberg",1787,"Central Europe","widespread","AU,BE,BH,BU,BY,CR,CT,CZ,DE,FI,FR,GB,GE,HU,IR,IT,LA,LS,LT,LU,MD,NL,NR,NT,RO,SK,SL,SP,ST,SV,SZ,UK,YU,WS","winged",6,4,"25 - 50 %","Predator","checked","","","","1,3,4,5","Imago","","","checked","","",NA,"",1,350,51,9,1308,1308,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 174","Lindroth (1985/86): 154","Freude et al. (2006): 174","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"130",1319,"Trechinae","Bembidiini","Bembidiina","bembidion","Sinechostictus","doderoi","Ganglbauer",1891,"Central Europe","widespread","AU,BU,CR,CZ,FR,GE,GR,HU,IT,MC,MD,RO,SK,SL,SZ,UK,YU","winged",6,5,"25 - 50 %","Predator","checked","","","","3,5","Imago","","","checked","","",NA,"J. M?ller (1918): 71",1,350,51,9,1319,1319,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 196","Jeannel (1941): 479","Freude et al. (2006): 196","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"131",1321,"Trechinae","Bembidiini","Bembidiina","bembidion","Trepanedoris","doris","Panzer",1796,"Central Europe","widespread","AU,BE,BH,BY,CT,CZ,DE,EN,FI,FR,GB,GE,HU,IR,IT,LA,LT,LU,MD,NL,NR,NT,PT,RO,SK,SL,SP,ST,SV,SZ,UK,ES,WS","winged",3,3,"25 - 50 %","Predator","checked","","","","1,3,4,5","Imago","","","checked","","",NA,"",1,350,51,9,1321,1321,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Lindroth (1985/86): 162","Lindroth (1985/86): 162","Lindroth (1985/86): 162","Lindroth (1985/86): 162","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86): 162","","",NA
"132",1334,"Trechinae","Bembidiini","Bembidiina","bembidion","Sinechostictus","elongatum","Dejean",1831,"Central Europe","widespread","AU,BE,BH,CR,HU,FR,GE,IT,LU,MC,NL,PT,RO,ST,SP,SZ,YU,IN,IS,TR","winged",4,3,"25 - 50 %","Predator","checked","","","","3,4","Imago","","","checked","","",NA,"Antoine (1955): 165",1,350,51,9,1334,1334,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 196","Desender (1989): 28","Freude et al. (2006): 196","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"133",1336,"Trechinae","Bembidiini","Bembidiina","bembidion","Notaphemphanes","ephippium","Marsham",1802,"Central Europe","widespread","AU,BE,BU,DE,FR,GB,GE,GR,HU,IT,MD,NL,RO,SK,SL,SP,ST,UK,YU,MO,TU,TR","winged",3,2,"25 - 50 %","Predator","checked","","","","0,1,3,4","Imago","","","checked","","",NA,"Lindroth (1985/86): 169, Lindroth (1945): 294",1,350,51,9,1336,1336,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 176","Lindroth (1985/86): 158","Freude et al. (2006): 176","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"134",1337,"Trechinae","Bembidiini","Bembidiina","bembidion","Euperyphus","eques","Sturm",1825,"Central Europe","","AU,FR,GE,IT,SL,SP,SZ","winged",9,7,"25 - 50 %","Predator","checked","","","","","","","","","","",NA,"",1,350,51,9,1337,1337,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","","","","Hengeveld (1980)","Hengeveld (1980)","","","","",NA
"135",1352,"Trechinae","Bembidiini","Bembidiina","bembidion","Bembidionetolitzkya","fasciolatum","Duftschmid",1812,"Central Europe","widespread","AL,AU,BE,BH,BU,CR,CZ,FR,GE,HU,IT,LS,NL,SK,SL,SP,SZ,YU,UK","winged",7,5,"25 - 50 %","Predator","checked","","","","3","Imago","","","checked","","",NA,"",1,350,51,9,1352,1352,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 180, Chatenet (2005): 329","Ortuno & Toribio (2005): 239","Freude et al. (2006): 180","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"136",1356,"Trechinae","Bembidiini","Bembidiina","bembidion","Peryphus","femoratum","Sturm",1825,"Central Europe","widespread","AB,AR,GG,ST,TR,AU,BE,BU,BY,CR,CT,CZ,DE,EN,FI,FR,GB,GE,GR,HU,IT,IR,LA,LT,LU,MC,MD,NL,NR,NT,RO,SK,SL,SP,SV,SZ,UK,YU,ES,IN,KZ,TR,WS","dimorphic",5,4,"25 - 50 %","Predator","checked","","","","1,3,8,9","Imago","","","checked","","",NA,"",1,350,51,9,1356,1356,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 192","Barndt et al. (1991): 251","Freude et al. (2006): 192","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"137",1362,"Trechinae","Bembidiini","Bembidiina","bembidion","Odontium","foraminosum","Sturm",1825,"Central Europe","widespread","AU,BH,BY,CR,CT,CZ,FR,GE,HU,IT,LT,MC,MD,RO,SK,SL,SP,ST,SZ,UK,YU","winged",7,5,"25 - 50 %","Predator","checked","","","","3","Larva","","","checked","","checked",NA,"",1,350,51,9,1362,1362,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 170, Ortuno & Toribio (2005): 303","Jeannel (1941): 543","Freude et al. (2006): 170,","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"138",1372,"Trechinae","Bembidiini","Bembidiina","bembidion","Euperyphus","fulvipes","Sturm",1827,"Central Europe","widespread","AU,CZ,FR,GE,HU,LS,IT,SK,SL,SZ,UK","winged",7,6,"25 - 50 %","Predator","checked","","","","3","Imago","","","checked","","checked",NA,"",1,350,51,9,1372,1372,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","J. Müller (1918): 77","J. Müller (1918): 77","J. Müller (1918): 77","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"139",1374,"Trechinae","Bembidiini","Bembidiina","bembidion","Diplocampa","fumigatum","Duftschmid",1812,"Central Europe","widespread","AU,BE,BH,BU,CR,CZ,DE,FR,GB,GE,GR,HU,IR,IT,LU,MD,NL,RO,SK,SL,SP,ST,SV,SZ,UK,YU,KZ,TR,WS","winged",4,3,"25 - 50 %","Predator","checked","","","","1,3,4","Imago","","","checked","","",NA,"",1,350,51,9,1374,1374,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Lindroth (1985/86): 165","Lindroth (1985/86): 165","Lindroth (1985/86): 165","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"140",1385,"Trechinae","Bembidiini","Bembidiina","bembidion","Bembidionetolitzkya","geniculatum","Heer",1837,"Central Europe","widespread","AU,BH,BU,CR,CZ,DE,FA,FR,GB,GE,GR,IC,IR,IT,LS,MC,MD,PL,RO,SK,SL,SP,SZ,TR,UK,YU","winged",5,4,"25 - 50 %","Predator","checked","","","","3","Imago","","","checked","","checked",NA,"Jeannel (1941): 499, Ortuno & Toribio (2005): 240, Freude et al. (2006): 179, spring breeder",1,350,51,9,1385,1385,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 182","Jeannel (1941): 500","Freude et al. (2006): 182","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"141",1391,"Trechinae","Bembidiini","Bembidiina","bembidion","Semicampa","gilvipes","Sturm",1825,"Central Europe","widespread","AU,BE,BY,CT,CZ,DE,EN,FI,FR,GB,GE,HU,IR,LA,LT,LU,NL,NR,NT,SK,SV,YU,ES,FE,WS","dimorphic",2,2,"25 - 50 %","Predator","checked","","","","1,4,5,9","Imago","","","checked","","",NA,"",1,350,51,9,1391,1391,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Lindroth (1945): 222","Jeannel (1941): 465","Lindroth (1945): 222","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"142",1393,"Trechinae","Bembidiini","Bembidiina","bembidion","Testediolum","glaciale","Heer",1837,"Central Europe","widespread","AU,BH,FR,GE,IT,LS,RO,UK,SK,SL,SZ,UK,YU","winged",5,4,"25 - 50 %","Predator","checked","","","","2","Imago","","","checked","","checked",NA,"",1,350,51,9,1393,1393,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 193","Jeannel (1941): 519","Freude et al. (2006): 193","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"143",1407,"Trechinae","Bembidiini","Bembidiina","bembidion","Philochthus","guttula","Fabricius",1792,"Central Europe","widespread","AB,AR,AU,BE,BH,BU,BY,CR,CT,CZ,DE,EN,FI,FR,GB,GE,GG,GR,HU,IR,IT,LA,LS,LT,LU,MA,MD,NL,NR,NT,PT,RO,SK,SL,SP,ST,SV,SZ,UK,YU,MO,ES,IN,KI,KZ,WS","dimorphic",3,2,"25 - 50 %","Predator","checked","","checked","","1,3,4,9","Imago","","","checked","","",NA,"",1,350,51,9,1407,1407,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 204","Lindroth (1985/86): 173","Lindroth (1985/86): 173","Lindroth (1985/86): 173","Hengeveld (1980), Mundy et al. (2000)","GAC, Ed. (2009)","Lindroth (1985/86): 173","","",NA
"144",1434,"Trechinae","Bembidiini","Bembidiina","bembidion","Bembidion","humerale","Sturm",1825,"Central Europe","widespread","AU,BE,BU,BY,CT,CZ,DE,EN,FI,FR,GB,GE,IT,LA,LT,LU,NL,NT,RO,SK,SP,SV,SZ,UK,ES,FE,WS","winged",3,2,"25 - 50 %","Predator","checked","","","","3,4,8","Imago","","","checked","","",NA,"",1,350,51,9,1434,1434,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 201","Lindroth (1985/86): 169","Freude et al. (2006): 201","Lindroth (1985/86): 169","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86): 169","","",NA
"145",1442,"Trechinae","Bembidiini","Bembidiina","bembidion","Nepha","illigeri","Netolitzky",1914,"Central Europe","widespread","AL,AU,BE,BH,BU,BY,CR,CT,CZ,DE,FI,FR,GE,GE,GR,HU,IR,IT,LA,LT,MC,MD,NL,NT,PL,RO,SK,SL,SV,SZ,YU,MR","winged",4,4,"25 - 50 %","Predator","checked","","","","","Imago","","","checked","","",NA,"Jeannel (1941): 529",1,700,51,9,1442,1442,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 194","Barndt et al. (1991): 251","Freude et al. (2006): 194","Lindroth (1985/86)","Hengeveld (1980)","","Lindroth (1985/86)","","",NA
"146",1447,"Trechinae","Bembidiini","Bembidiina","bembidion","Peryphus","incognitum","J. M",1931,"Central Europe","widespread","AU,BU,FR,GE,IT,LS,RO,SL,SZ,UK","winged",5,4,"25 - 50 %","Predator","checked","","","","2","Imago","","","checked","","",NA,"Lindroth (1945): 208",1,350,51,9,1447,1447,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 186","Jeannel (1941): 513","Freude et al. (2006): 186","Lindroth (1985/86)","Hengeveld (1980)","GAC, Ed. (2009)","Lindroth (1985/86)","","",NA
"147",1454,"Trechinae","Bembidiini","Bembidiina","bembidion","Philochthus","inoptatum","Schaum",1857,"Central Europe","widespread","AU,BH,BU,CR,CZ,GE,GR,HU,IT,MD,RO,SK,SL,ST,UK,YU,IN,TR","winged",4,3,"25 - 50 %","Predator","checked","","","","","Imago","","","checked","","",NA,"",1,350,51,9,1454,1454,"Löbl & Smetana (2003)","Löbl & Smetana (2003)","Freude et al. (2006): 203","Freude et al. (2006): 203","Freude et al. (2006): 203","Lindroth (1985/86)","Hengeveld (1980)","","Lindroth (1985/86)","","",NA
