"genus","species","newcarabids_habitatpreference_carabids_habitat","newmartin2019_overwintering_habitat_martin2019_habitat","newmartin2019_stratum_martin2019_habitat","newsesync_crops_sesync_habitat","newsesync_finalhabitat_sesync_habitat","newsesync_overwinter.location_sesync_habitat","newtamburini_habitat.breadth_tamburini_habitat","newtamburini_host.breadth..n..host.families._tamburini_habitat","newjeppsson_larval.host.plants..nr.._jeppsson_habitat","newjeppsson_overwintering.stage..adult.larvae._jeppsson_habitat","newjeppsson_substrate.utilization.breadth..nr.._jeppsson_habitat","newarthropodtraits_stratum_use_arthropodtraits_habitat","newarthropodtraits_stratum_use_short_arthropodtraits_habitat","newemerystickytrap_habitat_emerysticky_habitat","newemerypitfalltrap_habitat_emerypit_habitat"
"araneus","triguttatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t","t",NA,NA
"araniella","alpica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t","t",NA,NA
"araniella","cucurbitina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"h-t","u",NA,NA
"araniella","opisthographa",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"h-t","u",NA,NA
"arctosa","leopardus",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"arctosa","perita",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"argenna","subnigra",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"arhopalus","rusticus",NA,NA,NA,NA,NA,NA,NA,NA,"2","L","2",NA,NA,NA,NA
"arhopalus","tristis",NA,NA,NA,NA,NA,NA,NA,NA,"2","L","2",NA,NA,NA,NA
"aromia","moschata",NA,NA,NA,NA,NA,NA,NA,NA,"4","L","2",NA,NA,NA,NA
"asaphes","suspensus",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"asaphidion","austriacum","3568",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"asaphidion","caraboides","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"asaphidion","curtum","3569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"asaphidion","flavipes","1345689","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"asaphidion","pallipes","13789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"asaphidion","stierlini","9","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"asemum","striatum",NA,NA,NA,NA,NA,NA,NA,NA,"2","L","2",NA,NA,NA,NA
"asemum","tenuicorne",NA,NA,NA,NA,NA,NA,NA,NA,"1","L","2",NA,NA,NA,NA
"asthenargus","paganus",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","aegra",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"atheta","aeneipennis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"atheta","amplicollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"atheta","atramentaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"atheta","britanniae",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","cauta",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"atheta","celata",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"atheta","crassicornis",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"atheta","elongatula",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"atheta","fungi",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"atheta","graminicola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"atheta","harwoodi",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","inquinula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"atheta","laticollis",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","liliputana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"atheta","longicornis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"atheta","macrocera",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"atheta","malleus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"atheta","nigra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"atheta","oblita",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","orbata",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"atheta","palustris",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"atheta","pittionii",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","putrida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"atheta","ravilla",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atheta","triangulum",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"aulonia","albimana",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"auplopus","carbonarius",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"azteca","sp.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bactrocera","oleae",NA,NA,NA,"olea europaea","crop","soil","Crop specialist","7",NA,NA,NA,NA,NA,NA,NA
"badister","bullatus","1679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"badister","collaris","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"badister","dilatatus","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"badister","dorsiger","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"badister","lacertosus","4569","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"badister","meridionalis","46","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"badister","peltatus","45","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"badister","sodalis","45679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"badister","unipustulatus","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"baryphyma","pratense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"baryphyma","trifrons",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bathyphantes","approximatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g-h","u",NA,NA
"bathyphantes","gracilis",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g-h","u",NA,NA
"bathyphantes","parvulus",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g-h","u",NA,NA
"bathyphantes","similis",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","aeneum","1349","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","argenteolum","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","articulatum","134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","ascendens","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","aspericolle","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","assimile","145","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"bembidion","atrocaeruleum","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","biguttatum","13459","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","bipunctatum","1234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","bodenheimeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","bruxellense","13489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","clarkii","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","complanatum","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","conforme","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","decoratum","3458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","decorum","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","deletum","12368","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","dentellum","1345","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","doderoi","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","doris","1345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","elongatum","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","ephippium","0134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","eques",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","fasciolatum","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","femoratum","1389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","foraminosum","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","fulvipes","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","fumigatum","134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","geniculatum","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","gilvipes","1459","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"bembidion","glaciale","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","guttula","1349","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"bembidion","humerale","348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","illigeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","incognitum","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","inoptatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","inustum","389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","iricolor","1","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","lampros","1","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","lapponicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","laticolle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","latinum","3","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","litorale","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","longipes","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","lunatum","1345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","lunulatum","134589","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","mannerheimii","1345","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","maritimum","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","milleri","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","millerianum","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","minimum","13489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","modestum","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","monticola","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","neresheimeri","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","nigricorne","47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","normannum","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","obliquum","134","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","obtusum",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,"g","g",NA,NA
"bembidion","octomaculatum","1345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","pallidipenne","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","prasinum","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","properans","1349","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","pseudascendens","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","punctulatum","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","pygmaeum","3789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","quadrimaculatum","189","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","quadripustulatum","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","ruficolle","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","ruficorne","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","saxatile","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","scapulare","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","schueppelii","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","semipunctatum","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","starkii","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","stephensii","1358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","stomoides","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","striatum","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","terminale","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","testaceum","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","tetracolum","13459","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","tibiale","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","transparens","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","varicolor","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","varium","134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bembidion","velox","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"blemus","discus","134589","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bolitobius","castaneus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bolitobius","cingulatus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachiacantha","argentinica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canopy",NA
"brachiacantha","sellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canopy",NA
"brachiacantha","trimaculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canopy",NA
"brachinus","bipustulatus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachinus","crepitans","79","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachinus","explodens","79","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachinus","ganglbaueri",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachinus","psophia",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachinus","sclopeta",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","coactus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","depilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp. 07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachymyrmex","sp.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brachyta","interrogationis",NA,NA,NA,NA,NA,NA,NA,NA,"1","L","1",NA,NA,NA,NA
"bradycellus","caucasicus","1247","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bradycellus","csikii","2789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bradycellus","distinctus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bradycellus","harpalinus","246789","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bradycellus","ruficollis","2467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bradycellus","sharpi","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bradycellus","verbasci","146789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brevicoryne","brassicae",NA,NA,NA,"brassica oleracea","crop","soil; or host plant","Habitat generalist","2",NA,NA,NA,NA,NA,NA,NA
"broscus","cephalotes","13789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"busseola","fusca",NA,NA,NA,NA,NA,NA,"Habitat generalist","3",NA,NA,NA,NA,NA,NA,NA
"cacoxenus","indagator",NA,"natural margin","aerial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calathus","",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calathus","ambiguus","179","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calathus","cinctus","179","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calathus","erratus","16789","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calathus","fuscipes","14679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calathus","luctuosus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calathus","melanocephalus","12679","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calathus","micropterus","2467","natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calathus","mollis","179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calathus","rotundicollis","569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"callicerus","obscurus",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"callicerus","rigidicornis",NA,"natural margin crop","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"callidium","aeneum",NA,NA,NA,NA,NA,NA,NA,NA,"2","L","2",NA,NA,NA,NA
"callidium","coriaceum",NA,NA,NA,NA,NA,NA,NA,NA,"2","L","2",NA,NA,NA,NA
"callidium","violaceum",NA,NA,NA,NA,NA,NA,NA,NA,"2","L","2",NA,NA,NA,NA
"callistus","lunatus",NA,"natural margin","ground/veg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calosoma","argentense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ground"
"calosoma","auropunctatum","789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calosoma","inquisitor","56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calosoma","investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calosoma","reticulatum","67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calosoma","retusum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ground"
"calosoma","sycophanta","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","aff. aruensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","aff. pictostriatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","aff. polynesicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","americanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camponotus","amperei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
