scope,species,question,answer,unknown,known,question last word
Predation and movement ability - Body size,collinsia inerrans,are collinsia inerrans larger than prey?,unknown (23),1,0,prey?
Predation and movement ability - Body size,copitarsia consueta,are copitarsia consueta large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,copitarsia consueta,are copitarsia consueta larger than competitors?,unknown (17),1,0,competitors?
Predation and movement ability - Body size,collinsia inerrans,are copitarsia consueta larger than prey?,unknown (11),1,0,prey?
Predation and movement ability - Body size,copitarsia turbata,are copitarsia turbata large insects?,unknown (24),1,0,insects?
Predation and movement ability - Body size,copitarsia consueta,are copitarsia turbata larger than competitors?,unknown (21),1,0,competitors?
Predation and movement ability - Body size,copitarsia turbata,are copitarsia turbata larger than prey?,unknown (7),1,0,prey?
Predation and movement ability - Body size,crematogaster sumichrasti,are crematogaster sumichrasti large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,crematogaster sumichrasti,are crematogaster sumichrasti larger than competitors?,unknown (22),1,0,competitors?
Predation and movement ability - Body size,crematogaster sumichrasti,are crematogaster sumichrasti larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,creonitades dilutus,are creonitades dilutus large insects?,unknown (1),1,0,insects?
Predation and movement ability - Body size,creonitades dilutus,are creontiades dilutus large insects?,78 mm long 79 mm (0),0,1,insects?
Predation and movement ability - Body size,creontiades dilutus,are creontiades dilutus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,creontiades dilutus,are creontiades dilutus larger than prey?,yes as big as or bigger than their prey (0),0,1,prey?
Predation and movement ability - Body size,cryptoblabes gnidiella,are cryptoblabes gnidiella large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,cryptoblabes gnidiella,are cryptoblabes gnidiella larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,creontiades dilutus,are cryptoblabes gnidiella larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,cycloneda sanguinea,are cycloneda sanguinea large insects?,"ranging from 465 mm long (1), yes 16 to almost 516 inch 465 mm long cycloneda sanguinea is a large ladybird beetle (0)",0,1,insects?
Predation and movement ability - Body size,cycloneda sanguinea,are cycloneda sanguinea larger than competitors?,eriopis connexa is a stronger competitor and larger larva always wins when larvae are of different instars (1),0,1,competitors?
Predation and movement ability - Body size,cycloneda sanguinea,are cycloneda sanguinea larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,delia radicum,are delia radicum large insects?,57 mm long (2),0,1,insects?
Predation and movement ability - Body size,delia radicum,are delia radicum larger than competitors?,unknown (24),1,0,competitors?
Predation and movement ability - Body size,delia radicum,are delia radicum larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,demetrias atricapillus,are demetrias atricapillus large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,demetrias atricapillus,are demetrias atricapillus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,demetrias atricapillus,are demetrias atricapillus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,dendrocerus carpenteri,are dendrocerus carpenteri large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,dendrocerus carpenteri,are dendrocerus carpenteri larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,dendrocerus carpenteri,are dendrocerus carpenteri larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,deraeocoris ruber,are deraeocoris ruber large insects?,about 7mm in length medium sized 410 mm 8 to 10 mm 6 to 8 millimetres long (0),0,1,insects?
Predation and movement ability - Body size,deraeocoris ruber,are deraeocoris ruber larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,deraeocoris ruber,are deraeocoris ruber larger than prey?,unknown (24),1,0,prey?
Predation and movement ability - Body size,diabrotica barberi,are diabrotica barberi large insects?,unknown (24),1,0,insects?
Predation and movement ability - Body size,diabrotica barberi,are diabrotica barberi larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,diabrotica barberi,are diabrotica barberi larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,diabrotica barberi,are diabrotica virgifera large insects?,"14 inch 6 mm long (1), yes 516 inch 75 mm long (0), 38 inch 9 mm long diabrotica is a large genus of beetles (0)",0,1,insects?
Predation and movement ability - Body size,diabrotica virgifera,are diabrotica virgifera larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,diabrotica virgifera,are diabrotica virgifera larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,diachromus germanus,are diachromus germanus large insects?,unknown (24),1,0,insects?
Predation and movement ability - Body size,diachromus germanus,are diachromus germanus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,diachromus germanus,are diachromus germanus larger than prey?,unknown (24),1,0,prey?
Predation and movement ability - Body size,diaea dorsata,are diaea dorsata large insects?,unknown (24),1,0,insects?
Predation and movement ability - Body size,diaea dorsata,are diaea dorsata larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,diaea dorsata,are diaea dorsata larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,dicymbium nigrum,are dicymbium nigrum large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,dicymbium nigrum,are dicymbium nigrum larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,dicymbium nigrum,are dicymbium nigrum larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,dinaraea angustula,are dinaraea angustula large insects?,4 mm (1),0,1,insects?
Predation and movement ability - Body size,dinaraea angustula,are dinaraea angustula larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,dinaraea angustula,are dinaraea angustula larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,diplocephalus cristatus,are diplocephalus cristatus large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,diplocephalus cristatus,are diplocephalus cristatus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,diplocephalus cristatus,are diplocephalus cristatus larger than prey?,unknown (24),1,0,prey?
Predation and movement ability - Body size,diplocephalus latifrons,are diplocephalus latifrons large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,diplocephalus latifrons,are diplocephalus latifrons larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,diplocephalus latifrons,are diplocephalus latifrons larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,diplocephalus picinus,are diplocephalus picinus large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,diplocephalus picinus,are diplocephalus picinus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,diplocephalus picinus,are diplocephalus picinus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,diplostyla concolor,are diplostyla concolor large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,diplostyla concolor,are diplostyla concolor larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,diplostyla concolor,are diplostyla concolor larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,dipogon subintermedius,are dipogon subintermedius large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,diplostyla concolor,are dipogon subintermedius larger than competitors?,unknown (12),1,0,competitors?
Predation and movement ability - Body size,dipogon subintermedius,are dipogon subintermedius larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,discoelius zonalis,are discoelius zonalis large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,dipogon subintermedius,are discoelius zonalis larger than competitors?,unknown (16),1,0,competitors?
Predation and movement ability - Body size,discoelius zonalis,are discoelius zonalis larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,dismodicus elevatus,are dismodicus elevatus large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,discoelius zonalis,are dismodicus elevatus larger than competitors?,unknown (11),1,0,competitors?
Predation and movement ability - Body size,dismodicus elevatus,are dismodicus elevatus larger than prey?,unknown (20),1,0,prey?
Predation and movement ability - Body size,dolichus halensis,are dolichus halensis large insects?,unknown (9),1,0,insects?
Predation and movement ability - Body size,dolichus halensis,are dolichus halensis larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,dolichus halensis,are dolichus halensis larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,dolycoris baccarum,are dolycoris baccarum large insects?,"dolycoris baccarum is considered a large insect (1), with adults measuring 1112 mm in length (1), 1112 mm yes (0)",0,1,insects?
Predation and movement ability - Body size,dolycoris baccarum,are dolycoris baccarum larger than competitors?,"yes (1), dolycoris baccarum are larger than competitors (1)",0,1,competitors?
Predation and movement ability - Body size,dolycoris baccarum,are dolycoris baccarum larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,drassyllus lutetianus,are drassyllus lutetianus large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,drassyllus lutetianus,are drassyllus lutetianus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,drassyllus lutetianus,are drassyllus lutetianus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,drassyllus praeficus,are drassyllus praeficus large insects?,"5 to 8 mm (1), 5 to 7 mm (1)",0,1,insects?
Predation and movement ability - Body size,drassyllus praeficus,are drassyllus praeficus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,drassyllus praeficus,are drassyllus praeficus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,drassyllus pusillus,are drassyllus pusillus large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,drassyllus pusillus,are drassyllus pusillus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,drassyllus pusillus,are drassyllus pusillus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,drepanotylus uncatus,are drepanotylus uncatus large insects?,unknown (24),1,0,insects?
Predation and movement ability - Body size,drepanotylus uncatus,are drepanotylus uncatus larger than competitors?,unknown (13),1,0,competitors?
Predation and movement ability - Body size,drepanotylus uncatus,are drepanotylus uncatus larger than prey?,unknown (21),1,0,prey?
Predation and movement ability - Body size,drepanotylus uncatus,are drusilla canaliculata large insects?,11mm long (1),0,1,insects?
Predation and movement ability - Body size,drusilla canaliculata,are drusilla canaliculata larger than competitors?,unknown (24),1,0,competitors?
Predation and movement ability - Body size,drusilla canaliculata,are drusilla canaliculata larger than prey?,unknown (24),1,0,prey?
Predation and movement ability - Body size,drypta dentata,are drypta dentata large insects?,785mm (1),0,1,insects?
Predation and movement ability - Body size,drypta dentata,are drypta dentata larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,drypta dentata,are drypta dentata larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,dysdera erythrina,are dysdera erythrina large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,dysdera erythrina,are dysdera erythrina larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,dysdera erythrina,are dysdera erythrina larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,enoplognatha thoracica,are enoplognatha thoracica large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,enoplognatha thoracica,are enoplognatha thoracica larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,enoplognatha thoracica,are enoplognatha thoracica larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,enoplognatha thoracica,are episyrphus balteatus large insects?,9 to 12mm 1013mm small (0),0,1,insects?
Predation and movement ability - Body size,episyrphus balteatus,are episyrphus balteatus larger than competitors?,episyrphus balteatus are larger than competitors (1),0,1,competitors?
Predation and movement ability - Body size,episyrphus balteatus,are episyrphus balteatus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,erigone atra,are erigone atra large insects?,unknown (10),1,0,insects?
Predation and movement ability - Body size,erigone atra,are erigone atra larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,erigone atra,are erigone atra larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,erigone dentipalpis,are erigone dentipalpis large insects?,unknown (9),1,0,insects?
Predation and movement ability - Body size,erigone dentipalpis,are erigone dentipalpis larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,erigone dentipalpis,are erigone dentipalpis larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,erigone dentipalpis,are erigone longipalpis large insects?,unknown (10),1,0,insects?
Predation and movement ability - Body size,erigone longipalpis,are erigone longipalpis larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,erigone longipalpis,are erigone longipalpis larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,erigonella hiemalis,are erigonella hiemalis large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,erigonella hiemalis,are erigonella hiemalis larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,erigonella hiemalis,are erigonella hiemalis larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,eriopis connexa,are eriopis connexa large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,erigonella hiemalis,are eriopis connexa larger than competitors?,"eriopis connexa always won when larvae of the same instar were compared (1), the larger larva always won when larvae were of different instars (1), regardless of species (1)",0,1,competitors?
Predation and movement ability - Body size,eriopis connexa,are eriopis connexa larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,eupeodes corollae,are eupeodes corollae large insects?,unknown (24),1,0,insects?
Predation and movement ability - Body size,eupeodes corollae,are eupeodes corollae larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,eupeodes corollae,are eupeodes corollae larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,eupeodes nitens,are eupeodes nitens large insects?,unknown (10),1,0,insects?
Predation and movement ability - Body size,eupeodes nitens,are eupeodes nitens larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,eupeodes nitens,are eupeodes nitens larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,eupeodes nitens,are eupoecilia ambiguella large insects?,1215 mm wingspan (1),0,1,insects?
Predation and movement ability - Body size,eupoecilia ambiguella,are eupoecilia ambiguella larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,eupoecilia ambiguella,are eupoecilia ambiguella larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,eurydema oleracea,are eurydema oleracea large insects?,7 mm (1),0,1,insects?
Predation and movement ability - Body size,eurydema oleracea,are eurydema oleracea larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,eurydema oleracea,are eurydema oleracea larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,euryopis flavomaculata,are euryopis flavomaculata large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,euryopis flavomaculata,are euryopis flavomaculata larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,euryopis flavomaculata,are euryopis flavomaculata larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,euryopis flavomaculata,are eurytoma amygdali large insects?,68 mm (1),0,1,insects?
Predation and movement ability - Body size,eurytoma amygdali,are eurytoma amygdali larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,eurytoma amygdali,are eurytoma amygdali larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,forficula auricularia,are forficula auricularia large insects?,1318cm (1),0,1,insects?
Predation and movement ability - Body size,forficula auricularia,are forficula auricularia larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,forficula auricularia,are forficula auricularia larger than prey?,yes prey can be up to three times larger than forficula auricularia (0),0,1,prey?
Predation and movement ability - Body size,gnamptogenys striatula,are gnamptogenys striatula large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,gnamptogenys striatula,are gnamptogenys striatula larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,forficula auricularia,are gnamptogenys striatula larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,gongylidiellum vivum,are gongylidiellum vivum large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,gongylidiellum vivum,are gongylidiellum vivum larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,gongylidiellum vivum,are gongylidiellum vivum larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,gyrohypnus angustatus,are gyrohypnus angustatus large insects?,unknown (24),1,0,insects?
Predation and movement ability - Body size,gyrohypnus angustatus,are gyrohypnus angustatus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,gyrohypnus angustatus,are gyrohypnus angustatus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,hahnia nava,are hahnia nava large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,hahnia nava,are hahnia nava larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,hahnia nava,are hahnia nava larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,hahnia pusilla,are hahnia pusilla large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,hahnia pusilla,are hahnia pusilla larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,hahnia pusilla,are hahnia pusilla larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,haplodrassus signifer,are haplodrassus signifer large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,haplodrassus signifer,are haplodrassus signifer larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,haplodrassus signifer,are haplodrassus signifer larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,haplodrassus umbratilis,are haplodrassus umbratilis large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,haplodrassus umbratilis,are haplodrassus umbratilis larger than competitors?,unknown (23),1,0,competitors?
Predation and movement ability - Body size,haplodrassus umbratilis,are haplodrassus umbratilis larger than prey?,unknown (24),1,0,prey?
Predation and movement ability - Body size,harmonia axyridis,are harmonia axyridis large insects?,"harmonia axyridis ranges from 55 to 85 mm in size about 13inch long 6 mm long (0), 5 mm wide 14 inch long (0), 316 inch wide 13 inch long 14 inch 6 mm long (0), 15 inch 5 mm wide 79 mm (0)",0,1,insects?
Predation and movement ability - Body size,harmonia axyridis,are harmonia axyridis larger than competitors?,the asian lady beetle is also a bit larger than most native ladybugs yes (0),0,1,competitors?
Predation and movement ability - Body size,harmonia axyridis,are harmonia axyridis larger than prey?,"they can take prey that is as large or larger than themselves (1), larger than most native ladybird larvae yes (0)",0,1,prey?
Predation and movement ability - Body size,harpactea lepida,are harpactea lepida large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,harpactea lepida,are harpactea lepida larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,harmonia axyridis,are harpactea lepida larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,harpactea lepida,are harpalus affinis large insects?,68 mm 85 to 12 mm large insects (0),0,1,insects?
Predation and movement ability - Body size,harpalus affinis,are harpalus affinis larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,harpalus affinis,are harpalus affinis larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,harpalus affinis,are harpalus anxius large insects?,116 to 1 inch in length 668 mm 2mm to 35mm (0),0,1,insects?
Predation and movement ability - Body size,harpalus anxius,are harpalus anxius larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,harpalus anxius,are harpalus anxius larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,harpalus atratus,are harpalus atratus large insects?,unknown (24),1,0,insects?
Predation and movement ability - Body size,harpalus atratus,are harpalus atratus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,harpalus atratus,are harpalus atratus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,harpalus cupreus,are harpalus cupreus large insects?,unknown (24),1,0,insects?
Predation and movement ability - Body size,harpalus cupreus,are harpalus cupreus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,harpalus cupreus,are harpalus cupreus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,harpalus cupreus,are harpalus dimidiatus large insects?,1114 mm 1216 mm (0),0,1,insects?
Predation and movement ability - Body size,harpalus dimidiatus,are harpalus dimidiatus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,harpalus dimidiatus,are harpalus dimidiatus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,harpalus distinguendus,are harpalus distinguendus large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,harpalus distinguendus,are harpalus distinguendus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,harpalus distinguendus,are harpalus distinguendus larger than prey?,unknown (24),1,0,prey?
Predation and movement ability - Body size,harpalus griseus,are harpalus griseus large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,harpalus griseus,are harpalus griseus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,harpalus griseus,are harpalus griseus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,harpalus latus,are harpalus latus large insects?,unknown (24),1,0,insects?
Predation and movement ability - Body size,harpalus latus,are harpalus latus larger than competitors?,larger than competitors (1),0,1,competitors?
Predation and movement ability - Body size,harpalus latus,are harpalus latus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,harpalus luteicornis,are harpalus luteicornis large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,harpalus luteicornis,are harpalus luteicornis larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,harpalus luteicornis,are harpalus luteicornis larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,harpalus marginellus,are harpalus marginellus large insects?,unknown (24),1,0,insects?
Predation and movement ability - Body size,harpalus marginellus,are harpalus marginellus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,harpalus marginellus,are harpalus marginellus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,harpalus modestus,are harpalus modestus large insects?,unknown (24),1,0,insects?
Predation and movement ability - Body size,harpalus modestus,are harpalus modestus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,harpalus modestus,are harpalus modestus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,harpalus politus,are harpalus politus large insects?,yes (1),0,1,insects?
Predation and movement ability - Body size,harpalus politus,are harpalus politus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,harpalus politus,are harpalus politus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,harpalus pumilus,are harpalus pumilus large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,harpalus pumilus,are harpalus pumilus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,harpalus pumilus,are harpalus pumilus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,harpalus rubripes,are harpalus rubripes large insects?,yes rather large (0),0,1,insects?
Predation and movement ability - Body size,harpalus rubripes,are harpalus rubripes larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,harpalus rubripes,are harpalus rubripes larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,harpalus rufipes,are harpalus rufipes large insects?,unknown (20),1,0,insects?
Predation and movement ability - Body size,harpalus rufipes,are harpalus rufipes larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,harpalus rufipes,are harpalus rufipes larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,harpalus serripes,are harpalus serripes large insects?,unknown (22),1,0,insects?
Predation and movement ability - Body size,harpalus serripes,are harpalus serripes larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,harpalus serripes,are harpalus serripes larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,harpalus serripes,are harpalus signaticornis large insects?,1216 mm (1),0,1,insects?
Predation and movement ability - Body size,harpalus signaticornis,are harpalus signaticornis larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,harpalus signaticornis,are harpalus signaticornis larger than prey?,unknown (24),1,0,prey?
Predation and movement ability - Body size,harpalus smaragdinus,are harpalus smaragdinus large insects?,"yes (2), harpalus smaragdinus are large insects 1216 mm they are large beetles (0)",0,1,insects?
Predation and movement ability - Body size,harpalus smaragdinus,are harpalus smaragdinus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,harpalus smaragdinus,are harpalus smaragdinus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,harpalus tardus,are harpalus tardus large insects?,"811 mm yes (0), harpalus tardus are large insects large beetles (0)",0,1,insects?
Predation and movement ability - Body size,harpalus tardus,are harpalus tardus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,harpalus tardus,are harpalus tardus larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,helicoverpa armigera,are helicoverpa armigera large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,helicoverpa armigera,are helicoverpa armigera larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,helicoverpa armigera,are helicoverpa armigera larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,helopeltis sulawesi,are helopeltis sulawesi large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,helopeltis sulawesi,are helopeltis sulawesi larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,helopeltis sulawesi,are helopeltis sulawesi larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,helopeltis sulawesi,are himacerus apterus large insects?,"8  11 mm yes (0), himacerus apterus is slightly larger compared to similar species (0)",0,1,insects?
Predation and movement ability - Body size,himacerus apterus,are himacerus apterus larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,himacerus apterus,are himacerus apterus larger than prey?,"yes (2), himacerus apterus are larger than their prey (1)",0,1,prey?
Predation and movement ability - Body size,himacerus mirmicoides,are himacerus mirmicoides large insects?,7 to 8 mm 78 millimetres 028031 in (0),0,1,insects?
Predation and movement ability - Body size,himacerus mirmicoides,are himacerus mirmicoides larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,himacerus mirmicoides,are himacerus mirmicoides larger than prey?,"yes (3), himacerus mirmicoides are larger than prey (1)",0,1,prey?
Predation and movement ability - Body size,hippodamia convergens,are hippodamia convergens large insects?,unknown (24),1,0,insects?
Predation and movement ability - Body size,hippodamia convergens,are hippodamia convergens larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,hippodamia convergens,are hippodamia convergens larger than prey?,unknown (23),1,0,prey?
Predation and movement ability - Body size,hippodamia tredecimpunctata,are hippodamia tredecimpunctata large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,hippodamia tredecimpunctata,are hippodamia tredecimpunctata larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,hippodamia tredecimpunctata,are hippodamia tredecimpunctata larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,hippodamia variegata,are hippodamia variegata large insects?,unknown (24),1,0,insects?
Predation and movement ability - Body size,hippodamia variegata,are hippodamia variegata larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,hippodamia variegata,are hippodamia variegata larger than prey?,hippodamia variegata was smaller than col maculata yes (0),0,1,prey?
Predation and movement ability - Body size,histopona torpida,are histopona torpida large insects?,unknown (25),1,0,insects?
Predation and movement ability - Body size,histopona torpida,are histopona torpida larger than competitors?,unknown (25),1,0,competitors?
Predation and movement ability - Body size,histopona torpida,are histopona torpida larger than prey?,unknown (25),1,0,prey?
Predation and movement ability - Body size,hypera postica,are hypera postica large insects?,unknown (22),1,0,insects?
Predation and movement ability - Body size,hypera postica,are hypera postica larger than competitors?,unknown (25),1,0,competitors?
